Notes,County,Birth Weight,Death Rate
,"East Baton Rouge Parish, LA",3000 - 3499 grams,4.34 (Unreliable)
Total,"East Baton Rouge Parish, LA",,10.78
Total,"Jefferson Parish, LA",,6.12
Total,"Orleans Parish, LA",,6.62
,"Unidentified Counties, LA",499 grams or less,724.14
,"Unidentified Counties, LA",500 - 999 grams,220.34
,"Unidentified Counties, LA",1000 - 1499 grams,45.92 (Unreliable)
,"Unidentified Counties, LA",1500 - 1999 grams,30.3
,"Unidentified Counties, LA",2000 - 2499 grams,12.06
,"Unidentified Counties, LA",2500 - 2999 grams,4.95
,"Unidentified Counties, LA",3000 - 3499 grams,3.31
,"Unidentified Counties, LA",3500 - 3999 grams,1.81 (Unreliable)
Total,"Unidentified Counties, LA",,7.73
Total,"Cumberland County, ME",,6.71 (Unreliable)
,"Unidentified Counties, ME",499 grams or less,956.52
Total,"Unidentified Counties, ME",,5.47
,"Anne Arundel County, MD",500 - 999 grams,275.00 (Unreliable)
Total,"Anne Arundel County, MD",,6.17
,"Baltimore County, MD",499 grams or less,846.15
,"Baltimore County, MD",500 - 999 grams,196.97 (Unreliable)
Total,"Baltimore County, MD",,5.59
Total,"Howard County, MD",,4.76 (Unreliable)
,"Montgomery County, MD",499 grams or less,888.89
,"Montgomery County, MD",500 - 999 grams,220.34 (Unreliable)
Total,"Montgomery County, MD",,5.56
,"Prince George's County, MD",499 grams or less,1035.71
,"Prince George's County, MD",500 - 999 grams,272.73
Total,"Prince George's County, MD",,7.81
,"Baltimore city, MD",499 grams or less,911.76
,"Baltimore city, MD",500 - 999 grams,191.78 (Unreliable)
Total,"Baltimore city, MD",,8.35
,"Unidentified Counties, MD",499 grams or less,963.64
,"Unidentified Counties, MD",500 - 999 grams,283.78
,"Unidentified Counties, MD",2000 - 2499 grams,10.95 (Unreliable)
,"Unidentified Counties, MD",3000 - 3499 grams,2.01 (Unreliable)
Total,"Unidentified Counties, MD",,6.48
Total,"Bristol County, MA",,3.54
,"Essex County, MA",499 grams or less,789.47 (Unreliable)
Total,"Essex County, MA",,3.94
,"Hampden County, MA",499 grams or less,909.09 (Unreliable)
Total,"Hampden County, MA",,5.04
