County,Education,Death Rate
"Lee County, FL","Bachelor's degree (BA, AB, BS)",4.77
"Lee County, FL",Unknown/Not on certificate,35.83
"Leon County, FL",High school graduate or GED completed,9.35
"Leon County, FL","Some college credit, but not a degree",8.23
"Leon County, FL","Bachelor's degree (BA, AB, BS)",4.93
"Manatee County, FL",8th grade or less,6.32
"Manatee County, FL",9th through 12th grade with no diploma,9.23
"Manatee County, FL",High school graduate or GED completed,9.34
"Manatee County, FL","Some college credit, but not a degree",5.41
"Manatee County, FL","Associate degree (AA, AS)",4.97
"Marion County, FL",8th grade or less,11.23
"Marion County, FL",9th through 12th grade with no diploma,10.15
"Marion County, FL",High school graduate or GED completed,8.93
"Marion County, FL","Some college credit, but not a degree",7.05
"Marion County, FL","Associate degree (AA, AS)",6.12
"Marion County, FL","Bachelor's degree (BA, AB, BS)",6.16
"Miami-Dade County, FL",8th grade or less,5.01
"Miami-Dade County, FL",9th through 12th grade with no diploma,8.13
"Miami-Dade County, FL",High school graduate or GED completed,5.84
"Miami-Dade County, FL","Some college credit, but not a degree",4.58
"Miami-Dade County, FL","Associate degree (AA, AS)",3.58
"Miami-Dade County, FL","Bachelor's degree (BA, AB, BS)",2.8
"Miami-Dade County, FL","Master's degree (MA, MS)",2.45
"Miami-Dade County, FL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2.28
"Miami-Dade County, FL",Unknown/Not on certificate,33.36
"Orange County, FL",8th grade or less,8.01
"Orange County, FL",9th through 12th grade with no diploma,10.29
"Orange County, FL",High school graduate or GED completed,7.82
"Orange County, FL","Some college credit, but not a degree",7.65
"Orange County, FL","Associate degree (AA, AS)",6.23
"Orange County, FL","Bachelor's degree (BA, AB, BS)",3.6
"Orange County, FL","Master's degree (MA, MS)",3.46
"Orange County, FL","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3.8
"Orange County, FL",Unknown/Not on certificate,84.45
"Osceola County, FL",High school graduate or GED completed,4.8
"Osceola County, FL","Bachelor's degree (BA, AB, BS)",5.14
"Palm Beach County, FL",8th grade or less,6.18
"Palm Beach County, FL",9th through 12th grade with no diploma,7.38
"Palm Beach County, FL",High school graduate or GED completed,7.18
"Palm Beach County, FL","Some college credit, but not a degree",4.7
"Palm Beach County, FL","Associate degree (AA, AS)",3.44
"Palm Beach County, FL","Bachelor's degree (BA, AB, BS)",2.84
"Palm Beach County, FL","Master's degree (MA, MS)",2.53
"Palm Beach County, FL",Unknown/Not on certificate,28.6
"Pasco County, FL",9th through 12th grade with no diploma,8.84
"Pasco County, FL",High school graduate or GED completed,6.42
"Pasco County, FL","Some college credit, but not a degree",5.44
"Pasco County, FL","Associate degree (AA, AS)",5.49
"Pasco County, FL","Bachelor's degree (BA, AB, BS)",4.99
"Pasco County, FL","Master's degree (MA, MS)",4
"Pasco County, FL",Unknown/Not on certificate,46.59
"Pinellas County, FL",8th grade or less,11.67
"Pinellas County, FL",9th through 12th grade with no diploma,9.18
